Snap,x1mis_allha,x1mis_ntha,x1mis_allbb,x1mis_ntbb,x2jxq_allha,x2jxq_ntha,x2jxq_allbb,x2jxq_ntbb,x1f5g_allha,x1f5g_ntha,x1f5g_allbb,x1f5g_ntbb,x2l8f_allha,x2l8f_ntha,x2l8f_allbb,x2l8f_ntbb,x1zih_allha,x1zih_ntha,x1zih_allbb,x1zih_ntbb,x1zihstem_allha,x1zihstem_ntha,x1zihstem_allbb,x1zihstem_ntbb,x1szy_allha,x1szy_ntha,x1szy_allbb,x1szy_ntbb,x1szystem_allha,x1szystem_ntha,x1szystem_allbb,x1szystem_ntbb,x2koc_allha,x2koc_ntha,x2koc_allbb,x2koc_ntbb,x2kocstem_allha,x2kocstem_ntha,x2kocstem_allbb,x2kocstem_ntbb,x1d20_allha,x1d20_ntha,x1d20_allbb,x1d20_ntbb,x2hkb_allha,x2hkb_ntha,x2hkb_allbb,x2hkb_ntbb
739,2.99727,2.71862,1.98693,1.72579,2.11018,1.89222,2.21329,1.9775,4.28925,3.53138,3.20287,2.5842,3.20312,2.84771,2.70664,2.39166,4.63061,3.83465,5.47341,4.92355,4.41132,3.32575,4.97695,3.88078,4.03259,4.11313,3.43848,3.43532,2.52089,2.40029,2.87009,2.80488,2.95168,2.8167,3.15345,2.94936,2.14415,2.02689,2.46466,2.24445,5.93541,5.02992,6.54937,5.86695,3.23877,2.42562,2.93339,2.54711
744,3.06857,2.72555,2.0331,1.72968,2.7891,2.50884,2.89568,2.63599,4.00061,3.28548,3.13923,2.48515,3.34703,2.93732,2.89311,2.5493,4.23885,3.9211,5.12368,4.9327,3.6855,3.07748,4.31919,3.64736,3.7618,3.89895,3.02148,3.06961,1.81185,1.79839,2.14912,2.14348,3.40409,3.29212,3.63794,3.46534,2.71703,2.63397,3.088,2.93927,6.33471,5.65528,6.94358,6.46809,2.99641,2.06344,2.79207,2.28478
749,2.52996,2.21093,1.80658,1.42718,3.10348,2.86627,3.35304,3.16618,4.75255,3.91405,3.55301,2.78902,3.92457,3.14851,3.40905,2.63417,4.547,3.91107,5.7737,4.98072,4.25597,3.30335,5.29205,3.84019,3.8134,3.94816,3.31612,3.38021,2.06487,2.06782,2.43395,2.45916,3.4485,3.33519,3.6853,3.52856,2.75188,2.65285,3.16663,3.03308,5.51419,4.8241,6.10466,5.55343,2.90566,2.21906,2.69535,2.34275
754,2.36285,2.13381,1.72559,1.53529,3.15794,2.7832,3.39471,3.09443,4.02487,3.26388,3.20225,2.54819,4.10496,3.66283,3.94558,3.64192,4.11751,3.88209,5.2145,5.05097,3.68322,3.2333,4.414,3.81802,3.90414,3.99813,3.59138,3.6042,2.51296,2.46578,3.03213,2.99501,2.9076,2.82552,3.11194,3.03235,2.47511,2.39886,2.78937,2.71617,4.5501,3.95182,5.1366,4.56902,3.10769,2.72894,3.37564,3.13739
759,3.17681,2.85864,2.11058,1.85232,3.26803,3.03787,3.52026,3.33938,4.84238,4.01604,3.78229,3.03104,3.70953,3.04477,3.26447,2.8389,4.33871,3.84065,5.39884,4.70353,4.01822,3.25513,4.88059,3.62582,3.87499,3.93567,3.28567,3.25641,2.3444,2.14971,2.65158,2.54363,3.37061,3.26851,3.5133,3.37204,2.37826,2.32907,2.66354,2.55362,4.45544,3.97738,5.09192,4.66362,3.84833,3.2414,4.07073,3.61362
764,3.20156,2.8192,2.22728,1.88889,3.29352,3.12468,3.47462,3.30726,4.67018,3.93134,3.63789,2.91775,3.70639,3.09813,3.22982,2.7895,4.50126,3.90484,5.73111,4.89242,4.24886,3.3851,5.33027,4.05194,3.80858,3.92302,3.07577,3.11573,1.99015,1.93142,2.26343,2.25339,3.32232,3.16711,3.55827,3.35972,2.38663,2.25312,2.77752,2.56769,4.39799,3.8547,4.85609,4.36093,3.48547,2.64409,3.42304,3.03102
769,3.28128,2.83357,2.20507,1.7609,3.3069,3.04715,3.46452,3.21736,4.44948,3.8444,3.37223,2.75545,3.68433,2.85763,2.96756,2.34537,4.34626,3.821,5.43645,4.74012,4.03417,3.25636,4.96846,3.79975,4.1636,4.25042,3.65693,3.6656,2.56232,2.47174,3.05152,3.02317,3.63003,3.277,3.91378,3.51603,2.84413,2.53562,3.34413,2.96153,4.58712,4.01645,5.18295,4.71987,3.38414,2.55545,3.16129,2.84158
774,3.49015,2.92117,2.37679,1.80277,2.58465,2.40935,2.70975,2.49245,4.10505,3.33936,3.1987,2.53041,4.00669,3.04157,3.52178,2.93671,4.4092,3.79084,5.24946,4.66623,4.02917,3.08578,4.68551,3.44065,3.87109,3.99905,3.3616,3.39816,2.14669,2.12684,2.59764,2.59617,2.94892,2.79959,3.13531,2.93623,2.4372,2.31549,2.85253,2.6693,4.50374,3.98206,5.07043,4.60206,3.4436,2.43529,3.25726,2.73718
779,3.52327,3.20343,2.36769,2.16168,3.60709,3.36993,3.89528,3.67926,4.29541,3.43444,3.31879,2.55069,4.3226,3.31404,3.87515,3.06329,4.72364,3.84394,5.76363,4.89254,4.43936,3.12833,5.24788,3.60695,4.23032,4.2153,3.92484,3.8048,2.94831,2.71029,3.42831,3.24258,2.78363,2.62827,2.85667,2.67444,2.05294,1.91629,2.30182,2.1122,4.23346,3.81994,4.76034,4.40049,3.48568,2.52482,3.48206,2.86782
784,2.85779,2.53246,1.93734,1.72324,2.82327,2.64749,3.0384,2.87914,4.22451,3.43648,3.34065,2.56433,4.14306,3.23511,3.3737,2.81295,4.53332,3.90374,5.4577,4.83312,4.19258,3.29542,4.81486,3.6747,3.78446,3.88413,3.17816,3.17375,2.15595,2.06271,2.51666,2.44669,3.49562,3.39797,3.73702,3.60173,2.44516,2.42889,2.82881,2.75166,3.88557,3.36599,4.31163,3.81773,3.07708,2.31388,3.02857,2.53455
