timestep,ha_1bpi,ca_1bpi,bb_1bpi,hant_1bpi,cant_1bpi,bbnt_1bpi,ha_1l2y,ca_1l2y,bb_1l2y,hant_1l2y,cant_1l2y,bbnt_1l2y,ha_1ubq,ca_1ubq,bb_1ubq,hant_1ubq,cant_1ubq,bbnt_1ubq,ha_1ucs,ca_1ucs,bb_1ucs,hant_1ucs,cant_1ucs,bbnt_1ucs,ha_1vii,ca_1vii,bb_1vii,hant_1vii,cant_1vii,bbnt_1vii,ha_1wm3,ca_1wm3,bb_1wm3,hant_1wm3,cant_1wm3,bbnt_1wm3,ha_2oed,ca_2oed,bb_2oed,hant_2oed,cant_2oed,bbnt_2oed,ha_2ppn,ca_2ppn,bb_2ppn,hant_2ppn,cant_2ppn,bbnt_2ppn,ha_7skw,ca_7skw,bb_7skw,hant_7skw,cant_7skw,bbnt_7skw
202.6,2.80467,1.66818,1.57305,2.81539,1.60367,1.50652,4.23997,3.25702,2.9427,3.52671,2.35695,2.1824,4.25587,4.06621,4.13738,2.7802,2.07371,2.00513,2.51586,1.93409,1.96275,1.303,0.98549,0.96115,3.4383,2.6674,2.57488,3.2004,2.45278,2.36421,4.44631,3.42005,3.31422,4.30533,3.26677,3.16038,2.75554,2.00878,1.892,2.72581,1.9763,1.86519,3.63487,3.40038,3.33871,2.66835,2.08141,2.03893,7.32839,3.04348,2.95204,3.51204,2.91195,2.81866
202.8,2.8556,1.74661,1.64865,2.85242,1.66407,1.56134,4.30833,3.41977,3.09011,3.52206,2.4952,2.29242,4.2774,4.09908,4.16821,2.79115,2.08032,2.00202,2.6187,2.01675,2.05083,1.38537,1.09035,1.06177,3.81067,3.01952,2.92134,3.41548,2.69785,2.58707,4.43006,3.40003,3.3071,4.31071,3.26896,3.16603,2.76668,2.02483,1.9088,2.74668,1.99325,1.8838,3.64643,3.39452,3.329,2.63222,1.99931,1.94797,7.27185,3.00045,2.91235,3.48339,2.86927,2.77639
203,2.8371,1.69614,1.59974,2.83701,1.62984,1.52918,4.2877,3.4443,3.11925,3.49156,2.52516,2.30387,4.26292,4.09889,4.17381,2.74456,2.04956,1.98108,2.64952,2.03094,2.05118,1.49248,1.19317,1.16106,3.55274,2.74366,2.64582,3.36936,2.58007,2.48795,4.38739,3.36185,3.26324,4.27398,3.23638,3.1344,2.73506,2.02774,1.91083,2.71449,2,1.88766,3.6042,3.2988,3.23939,2.68799,2.04481,1.99225,7.80331,3.04841,2.95364,3.52851,2.91491,2.81416
203.2,2.89197,1.78637,1.683,2.9181,1.75901,1.65425,4.23961,3.22503,2.91278,3.49641,2.27681,2.09398,4.24604,4.07911,4.14235,2.74091,2.03861,1.96015,2.60738,1.97361,2.00244,1.32472,0.95084,0.94192,3.69682,2.84874,2.76107,3.42897,2.62693,2.53745,4.37547,3.34166,3.23995,4.26541,3.21428,3.11494,2.74362,1.9793,1.85766,2.72887,1.95309,1.83873,3.69732,3.451,3.38552,2.69743,2.06642,2.01632,8.00339,3.02788,2.93998,3.51746,2.8959,2.80457
203.4,2.86204,1.67887,1.57824,2.85599,1.58948,1.47887,4.25899,3.27068,2.95986,3.52398,2.38138,2.19411,4.23886,4.03066,4.09374,2.81549,2.1064,2.03163,2.49383,1.88486,1.904,1.27447,0.95342,0.91021,3.60607,2.82292,2.73597,3.26914,2.56941,2.47681,4.3519,3.31602,3.21102,4.24224,3.19776,3.09728,2.60371,1.85307,1.731,2.60381,1.84884,1.72649,3.59866,3.34054,3.27831,2.64573,2.02282,1.96602,8.24712,2.98635,2.90079,3.51019,2.85789,2.76822
203.6,2.83521,1.64984,1.55862,2.84978,1.58712,1.48838,4.31768,3.28727,2.9843,3.63183,2.41272,2.23573,4.28793,4.12741,4.18903,2.80044,2.11166,2.02994,2.485,1.85523,1.88261,1.23773,0.86815,0.83146,3.69498,2.88956,2.79344,3.41261,2.61803,2.53213,4.41714,3.39416,3.28771,4.28595,3.24164,3.13493,2.7093,1.96704,1.85175,2.70712,1.94995,1.83973,3.6053,3.35079,3.29262,2.64271,2.01358,1.96989,8.39541,2.98519,2.89268,3.46957,2.84699,2.75051
203.8,2.88035,1.71778,1.61532,2.89478,1.65292,1.55013,4.21837,3.30824,2.98727,3.49757,2.42261,2.239,4.24818,4.08134,4.14773,2.7539,2.05276,1.97457,2.35915,1.74006,1.7614,1.41838,1.05818,1.02059,3.5771,2.80567,2.7058,3.36538,2.63138,2.53617,4.34587,3.30432,3.20681,4.25685,3.19377,3.08557,2.81217,2.00548,1.88577,2.79299,1.96494,1.85469,3.70745,3.44106,3.38224,2.73515,2.09522,2.04697,8.4258,2.99504,2.90424,3.48486,2.86327,2.76785
204,2.91536,1.79161,1.68785,2.93378,1.75462,1.6505,4.42738,3.26558,2.93863,3.83441,2.46182,2.23583,4.28482,4.07794,4.14293,2.83177,2.10761,2.03575,2.29765,1.65138,1.68639,1.15453,0.76157,0.74482,3.67102,2.87534,2.76995,3.39918,2.63169,2.53039,4.54935,3.51101,3.41214,4.34495,3.30268,3.19376,2.68459,1.87593,1.75177,2.66382,1.84745,1.72895,3.65678,3.40372,3.33967,2.7012,2.1012,2.05251,8.58004,2.96052,2.87308,3.45463,2.82202,2.72695
204.2,2.89256,1.74298,1.6515,2.89669,1.68231,1.58564,4.27834,3.2164,2.89426,3.61306,2.35802,2.16288,4.23511,4.04979,4.12078,2.79295,2.07708,2.00019,2.34094,1.68987,1.71982,1.30591,0.91877,0.87507,3.65233,2.88288,2.79494,3.2881,2.56508,2.46461,4.45086,3.4115,3.31509,4.33628,3.27032,3.16351,2.77787,1.9776,1.83941,2.75339,1.95889,1.82738,3.73526,3.49712,3.43047,2.70388,2.09819,2.04381,8.39516,2.97145,2.87751,3.48889,2.85631,2.75953
204.4,2.86864,1.73485,1.64736,2.87901,1.67432,1.58107,4.17841,3.22624,2.92756,3.45486,2.32363,2.13392,4.31178,4.13625,4.2024,2.84993,2.11083,2.03674,2.57464,2.00487,2.02255,1.39141,1.07966,1.05555,3.63213,2.94175,2.84093,3.43211,2.79625,2.69346,4.47997,3.43391,3.34411,4.30812,3.25025,3.148,2.75388,2.00702,1.87659,2.74119,1.99208,1.86358,3.68203,3.42217,3.35294,2.71324,2.09865,2.04113,8.46669,3.01911,2.92519,3.5256,2.89316,2.79582
204.6,2.91258,1.739,1.63018,2.91402,1.66584,1.5453,4.36007,3.32628,3.00129,3.68665,2.46652,2.26037,4.25456,4.03969,4.11205,2.79071,2.0724,2.00143,2.43187,1.79767,1.82429,1.30875,0.97115,0.94008,3.59281,2.80975,2.70106,3.39038,2.65807,2.53489,4.48127,3.43903,3.35226,4.33641,3.28293,3.18606,2.8118,2.0151,1.89308,2.78603,1.99605,1.87751,3.6592,3.40237,3.34378,2.68047,2.07282,2.02519,8.52135,2.94011,2.8522,3.44523,2.80982,2.71936
204.8,2.87658,1.77986,1.68496,2.89205,1.73379,1.6346,4.23282,3.30021,2.99503,3.537,2.40312,2.2207,4.34422,4.17175,4.24095,2.82608,2.11872,2.04635,2.47801,1.81548,1.83864,1.32478,0.96502,0.9271,3.67948,2.90659,2.8065,3.54075,2.80097,2.68794,4.3882,3.39001,3.29249,4.26667,3.26107,3.15421,2.85117,2.02916,1.89569,2.79155,1.98535,1.86005,3.69191,3.43227,3.37115,2.71523,2.08157,2.03258,7.95727,3.01536,2.92209,3.49966,2.88911,2.79227
205,2.8713,1.73753,1.63657,2.88158,1.68186,1.56926,4.19489,3.24533,2.9374,3.47888,2.35584,2.19142,4.33008,4.16691,4.23952,2.80544,2.11945,2.04872,2.31109,1.67617,1.70215,1.1994,0.81208,0.78156,3.62535,2.85562,2.75612,3.50464,2.77848,2.66843,4.46122,3.41399,3.30448,4.32779,3.27289,3.16209,2.759,1.94404,1.82542,2.72756,1.91336,1.8018,3.6877,3.44857,3.38949,2.69854,2.10466,2.05795,7.61658,2.99876,2.90891,3.50457,2.86515,2.77128
205.2,2.84962,1.67836,1.58867,2.86337,1.63546,1.53935,4.20904,3.21695,2.90247,3.49155,2.32669,2.14108,4.2894,4.10644,4.1727,2.8318,2.12551,2.05204,2.23092,1.54251,1.57003,1.23682,0.8005,0.77697,3.57284,2.79684,2.67933,3.40717,2.65907,2.52612,4.5002,3.48392,3.38494,4.37089,3.33919,3.23171,2.87254,2.09207,1.95854,2.83301,2.04074,1.91433,3.63989,3.37822,3.31547,2.68202,2.06371,2.01339,7.78057,2.98448,2.90068,3.48414,2.85905,2.77085
205.4,2.86681,1.77812,1.68003,2.88812,1.7475,1.64398,4.22716,3.19419,2.89206,3.52016,2.29314,2.1306,4.24675,4.09108,4.1594,2.77931,2.0869,2.01426,2.27392,1.66218,1.69321,1.28894,0.91852,0.90401,3.54702,2.78539,2.68537,3.35204,2.62333,2.49654,4.43741,3.38857,3.2986,4.29944,3.23148,3.12744,2.9315,2.16881,2.0385,2.90913,2.14237,2.01559,3.65405,3.37563,3.31521,2.73852,2.10633,2.05834,7.4876,2.9558,2.8646,3.46512,2.79716,2.70172
205.6,2.86674,1.78,1.67832,2.88612,1.72733,1.62591,4.16865,3.16992,2.84594,3.48644,2.29582,2.10905,4.23626,4.08473,4.15306,2.77666,2.09584,2.02608,2.28947,1.7019,1.72773,1.18059,0.83643,0.80646,3.46697,2.76646,2.66276,3.29725,2.65856,2.54508,4.49295,3.44437,3.35225,4.32347,3.27532,3.17322,2.89237,2.19111,2.06041,2.88726,2.16403,2.03659,3.6013,3.32812,3.26487,2.71025,2.10214,2.05078,7.74649,2.96098,2.88049,3.46287,2.82883,2.74464
205.8,2.86974,1.7671,1.6758,2.8891,1.73733,1.6384,4.37491,3.3748,3.05785,3.63629,2.45607,2.24709,4.24936,4.10519,4.17331,2.73916,2.06471,1.98958,2.72096,2.05759,2.08929,1.4004,1.06192,1.03075,3.62799,2.9065,2.80216,3.42139,2.73572,2.63008,4.4728,3.43587,3.34102,4.33542,3.28729,3.18466,2.81988,2.0687,1.9391,2.79858,2.03755,1.91201,3.70832,3.45224,3.38862,2.67507,2.03203,1.98502,7.85581,2.99153,2.90413,3.48089,2.85661,2.76751
206,2.92087,1.8024,1.7018,2.92775,1.7475,1.64332,4.29829,3.34507,3.02824,3.57903,2.42843,2.21231,4.27851,4.0848,4.1621,2.81048,2.07545,2.00606,2.4647,1.7973,1.82679,1.26862,0.90182,0.86478,3.67903,2.91615,2.81882,3.44353,2.73073,2.61978,4.54169,3.51162,3.42522,4.37582,3.34308,3.24291,2.79572,2.00616,1.8712,2.76912,1.97096,1.83804,3.68725,3.42296,3.36165,2.71425,2.09526,2.04339,7.69538,2.93632,2.84789,3.42873,2.80583,2.71398
