Snap,x1mis_allha,x1mis_ntha,x1mis_allbb,x1mis_ntbb,x2jxq_allha,x2jxq_ntha,x2jxq_allbb,x2jxq_ntbb,x1f5g_allha,x1f5g_ntha,x1f5g_allbb,x1f5g_ntbb,x2l8f_allha,x2l8f_ntha,x2l8f_allbb,x2l8f_ntbb,x1zih_allha,x1zih_ntha,x1zih_allbb,x1zih_ntbb,x1zihstem_allha,x1zihstem_ntha,x1zihstem_allbb,x1zihstem_ntbb,x1szy_allha,x1szy_ntha,x1szy_allbb,x1szy_ntbb,x1szystem_allha,x1szystem_ntha,x1szystem_allbb,x1szystem_ntbb,x2koc_allha,x2koc_ntha,x2koc_allbb,x2koc_ntbb,x2kocstem_allha,x2kocstem_ntha,x2kocstem_allbb,x2kocstem_ntbb,x1d20_allha,x1d20_ntha,x1d20_allbb,x1d20_ntbb,x2hkb_allha,x2hkb_ntha,x2hkb_allbb,x2hkb_ntbb
2242,3.36638,2.98736,2.30151,2.05245,2.55404,2.33556,2.60312,2.40721,4.88311,4.17644,3.57451,3.08094,5.30896,4.79835,4.91969,4.1987,5.93183,4.31506,6.71212,5.38992,5.71907,3.68035,6.53483,4.59291,6.33089,6.10927,5.97635,5.78659,4.33811,4.07553,4.84748,4.67827,3.91237,3.18352,3.3991,2.74942,3.41019,2.37632,3.0431,2.16604,7.4019,6.82635,8.00729,7.53982,6.41393,5.62144,6.62359,6.10536
2243,3.48566,3.07752,2.23062,1.87677,2.61741,2.40949,2.66644,2.49649,4.65169,4.05149,3.61733,3.20471,5.15353,4.596,4.63183,3.87367,5.95714,4.33693,6.65689,5.35601,5.72129,3.68013,6.42747,4.50856,6.37609,6.12973,6.05272,5.82215,4.46481,4.16671,4.96564,4.73297,3.94886,3.17703,3.44265,2.72077,3.55151,2.51847,3.18755,2.26184,7.73637,7.15207,8.3528,7.92331,6.40332,5.522,6.50037,5.88179
2244,3.62187,3.24499,2.17516,1.86896,2.7199,2.51789,2.8294,2.64293,4.89131,4.22091,3.66875,3.27841,5.02256,4.64762,4.45175,3.89036,6.23484,4.47705,6.96759,5.48665,6.04195,3.86839,6.8545,4.68527,6.3539,6.07673,5.9909,5.75037,4.44023,4.12254,4.92297,4.69614,3.77978,3.07761,3.26351,2.63847,3.3715,2.39589,2.99573,2.17694,7.41563,6.73395,7.89042,7.39484,6.39601,5.50649,6.50473,5.87527
2245,4.05914,3.58478,2.47594,2.18166,2.73194,2.44319,2.862,2.64021,4.9828,4.29594,3.68065,3.26499,5.20412,4.70825,4.81821,4.13096,5.95789,4.35678,6.70856,5.42297,5.73972,3.69874,6.5376,4.63448,6.28596,6.06451,5.92895,5.73104,4.30276,4.0417,4.82214,4.63954,3.91688,3.10349,3.41106,2.67755,3.55727,2.47897,3.19781,2.28146,7.3293,6.76957,7.79318,7.36242,6.17636,5.26263,6.1911,5.57486
2246,3.80628,3.46627,2.49015,2.22912,3.12434,2.93441,3.28755,3.13402,5.43549,4.57602,3.99572,3.40645,5.44527,4.90942,5.06811,4.36263,6.01687,4.34807,6.62084,5.30868,5.8529,3.75003,6.45308,4.48375,6.30206,6.11928,5.94145,5.77288,4.23446,4.02426,4.76728,4.62581,3.92369,3.17022,3.39106,2.70945,3.49183,2.45812,3.12574,2.23088,6.81561,6.20713,6.96417,6.45603,6.20668,5.27177,6.27031,5.65728
2247,3.66754,3.33493,2.3563,2.0975,2.92004,2.81977,3.11373,2.99517,5.92452,4.89913,4.23992,3.47826,5.50799,4.89314,5.10289,4.35193,6.02594,4.32799,6.68443,5.27298,5.80486,3.66005,6.49053,4.39639,6.23019,5.99416,5.84533,5.64048,4.22608,3.93422,4.70363,4.5073,4.02164,3.21293,3.59585,2.88921,3.63061,2.54706,3.37862,2.49123,7.20636,6.60746,7.48169,7.0487,6.08635,5.21335,6.17531,5.60223
2248,3.5344,3.24322,2.33134,2.14643,2.59776,2.40868,2.71607,2.54861,5.44988,4.6203,4.08838,3.50166,5.34531,4.87569,4.85509,4.29049,6.01874,4.38647,6.79266,5.41543,5.85593,3.78266,6.70456,4.73029,6.29113,6.06806,5.8803,5.69496,4.3205,4.04117,4.76915,4.58926,3.98566,3.20999,3.54002,2.87008,3.49081,2.42484,3.20414,2.33934,6.93749,6.38328,7.21597,6.78413,6.2892,5.44116,6.37857,5.77638
2249,3.70137,3.42026,2.31809,2.09635,2.98315,2.83024,3.1939,3.01946,5.58342,4.69168,4.12023,3.49141,5.33751,4.96023,4.695,4.25166,6.08178,4.48804,6.90479,5.64478,5.83803,3.84354,6.75642,4.88122,6.39612,6.09065,6.01533,5.74227,4.38837,4.02944,4.87502,4.60793,3.78035,3.04907,3.37027,2.73559,3.4285,2.46947,3.1858,2.4138,6.8994,6.32003,7.15379,6.71983,5.84526,4.88602,5.70195,5.04721
2250,3.38106,3.11247,2.0783,1.82559,3.30532,3.2043,3.52279,3.39968,5.46847,4.71078,4.03314,3.48476,5.25658,4.72109,4.63389,4.01756,6.01504,4.42627,6.85434,5.5962,5.80233,3.80181,6.6994,4.85887,6.26904,6.00572,5.87551,5.66076,4.33871,4.00089,4.79575,4.5802,3.90196,3.33281,3.4473,2.9989,3.35615,2.52961,3.11197,2.5281,6.97506,6.41802,7.28101,6.86117,5.78987,4.89029,5.74859,5.12234
2251,3.39344,3.12107,2.10505,1.86367,3.20134,2.95857,3.30742,3.08705,5.62527,4.79942,4.05578,3.48589,4.97234,4.50134,4.29985,3.7585,6.01657,4.38947,6.72768,5.39209,5.80721,3.7872,6.54427,4.60626,6.31829,6.06455,5.92207,5.68576,4.36055,4.02487,4.81219,4.55282,4.00435,3.19262,3.62082,2.91842,3.61482,2.52631,3.42366,2.57149,7.02363,6.48914,7.39935,7.00509,5.86039,4.96485,5.79836,5.17145
2252,3.02247,2.64284,2.10466,1.70053,3.21769,3.0425,3.3397,3.16612,5.9273,5.00396,4.43461,3.77767,4.908,4.40187,4.13732,3.52529,5.91618,4.1885,6.57041,5.07639,5.7154,3.47003,6.39229,4.12653,6.3007,6.05303,5.92736,5.72542,4.34927,4.04441,4.81774,4.62138,4.03823,3.19814,3.56347,2.85109,3.59912,2.48564,3.30019,2.41858,7.06799,6.53395,7.38793,7.02778,5.94042,4.92835,5.87003,5.16388
2253,3.0748,2.76275,2.17959,1.90076,2.79109,2.68743,2.82743,2.71318,5.42867,4.67848,3.98775,3.46602,4.83888,4.40024,4.16381,3.67537,6.03053,4.31517,6.82792,5.41633,5.88577,3.7065,6.69785,4.63298,6.33203,6.11863,5.93297,5.72311,4.41181,4.11327,4.86971,4.63268,3.84646,3.12927,3.36291,2.73205,3.39624,2.40709,3.0517,2.21575,7.02517,6.49834,7.33069,6.95834,5.75985,4.75905,5.68034,4.99463
2254,2.64944,2.38733,1.93487,1.69206,2.73024,2.49979,2.74433,2.53102,5.4723,4.6783,3.99703,3.49907,4.90898,4.41841,4.34813,3.79183,5.95376,4.26496,6.63257,5.24123,5.74142,3.57935,6.45008,4.3559,6.28137,6.03985,5.91164,5.71198,4.33526,4.04565,4.78578,4.59967,3.97964,3.16378,3.52684,2.77275,3.67696,2.58765,3.38198,2.43528,6.87995,6.27972,7.19477,6.75699,5.54056,4.46391,5.5894,4.89761
2255,2.44952,2.15126,1.8755,1.59436,2.78895,2.51683,2.80756,2.55786,5.48396,4.68161,4.01378,3.4364,5.0073,4.52555,4.40444,3.9226,6.05507,4.58308,7.13422,6.0026,5.81765,3.97077,6.9403,5.28326,6.39266,6.18488,6.04515,5.86193,4.36661,4.13763,4.84048,4.69225,3.68639,3.05176,3.22943,2.66855,3.30817,2.42026,2.99713,2.26154,7.34563,6.85346,7.86643,7.5386,5.37869,4.35412,5.31406,4.63256
2256,2.79228,2.47488,1.81942,1.52448,2.91468,2.57826,2.90916,2.60831,5.36537,4.52254,3.96526,3.44372,5.00376,4.44695,4.45645,3.77902,5.95562,4.27013,6.64883,5.25054,5.7623,3.65307,6.49484,4.45862,6.20194,5.98598,5.79593,5.61067,4.20121,3.9514,4.66765,4.50948,3.82446,3.03715,3.29076,2.66621,3.41787,2.35683,2.98953,2.18054,7.19136,6.56798,7.6593,7.14537,5.40768,4.40067,5.22636,4.52951
2257,3.17336,2.74744,2.02859,1.64101,2.84179,2.62916,3.02733,2.80973,5.37475,4.60909,3.98544,3.43226,4.98211,4.57726,4.31979,3.83598,5.95944,4.39964,6.68464,5.4493,5.71158,3.72722,6.5032,4.67849,6.25633,6.08575,5.91409,5.75065,4.3317,4.12394,4.84634,4.69731,3.85775,3.14652,3.34882,2.7471,3.42496,2.43443,3.06782,2.28696,7.11272,6.45567,7.43737,6.92016,5.46272,4.42189,5.3764,4.65947
2258,3.24414,2.78694,2.17508,1.66317,2.92779,2.54401,2.9789,2.63554,6.17954,5.3208,4.57436,3.99389,5.04893,4.53437,4.4286,3.83948,5.98718,4.37292,6.72062,5.43324,5.7733,3.752,6.52474,4.64076,6.40396,6.17078,6.05105,5.84743,4.38767,4.13906,4.92152,4.7571,3.82743,3.20499,3.3641,2.80258,3.36726,2.49065,3.07851,2.35888,7.32566,6.73787,7.77972,7.34517,5.15721,4.17415,5.07549,4.41045
