timestep,ha_1bpi,ca_1bpi,bb_1bpi,hant_1bpi,cant_1bpi,bbnt_1bpi,ha_1l2y,ca_1l2y,bb_1l2y,hant_1l2y,cant_1l2y,bbnt_1l2y,ha_1ubq,ca_1ubq,bb_1ubq,hant_1ubq,cant_1ubq,bbnt_1ubq,ha_1ucs,ca_1ucs,bb_1ucs,hant_1ucs,cant_1ucs,bbnt_1ucs,ha_1vii,ca_1vii,bb_1vii,hant_1vii,cant_1vii,bbnt_1vii,ha_1wm3,ca_1wm3,bb_1wm3,hant_1wm3,cant_1wm3,bbnt_1wm3,ha_2oed,ca_2oed,bb_2oed,hant_2oed,cant_2oed,bbnt_2oed,ha_2ppn,ca_2ppn,bb_2ppn,hant_2ppn,cant_2ppn,bbnt_2ppn,ha_7skw,ca_7skw,bb_7skw,hant_7skw,cant_7skw,bbnt_7skw
15.8,2.44398,1.96888,1.93752,2.27648,1.60483,1.55411,2.76467,2.34747,2.14321,1.94819,1.34752,1.28741,3.28696,3.08814,3.15432,2.01791,1.41203,1.35721,1.73364,1.17669,1.20299,1.25889,0.89575,0.86074,3.31005,2.52058,2.43399,3.1082,2.32525,2.26051,2.31577,1.42033,1.36791,2.28822,1.39436,1.33969,2.5243,1.89203,1.78016,2.51669,1.89179,1.78137,3.93568,3.79112,3.74758,2.41917,1.8309,1.81547,7.1804,2.77307,2.7054,3.26714,2.69774,2.61746
16.8,2.62295,2.15798,2.09472,2.42043,1.76874,1.7152,2.84287,2.2647,2.01913,2.094,1.36483,1.28542,3.29544,3.12684,3.2077,1.99104,1.38747,1.33296,1.77147,1.19381,1.22133,1.25216,0.8782,0.85801,3.32155,2.51493,2.42652,3.18274,2.37472,2.2864,2.34241,1.50614,1.45477,2.3223,1.49308,1.43398,2.38734,1.76931,1.67536,2.38348,1.76481,1.67241,4.01237,3.86709,3.8244,2.49496,1.91756,1.88938,7.04815,2.77134,2.69596,3.27904,2.69347,2.60589
17.8,2.85569,1.90958,1.82572,2.73182,1.51584,1.4105,2.58745,2.04073,1.83368,1.78489,1.08958,0.9956,3.23138,3.0185,3.0846,1.98426,1.33806,1.29908,1.74052,1.18709,1.20456,1.28499,0.95499,0.93155,3.3479,2.61598,2.55634,3.16692,2.44412,2.37648,2.16938,1.28049,1.24938,2.12978,1.26833,1.22638,2.43259,1.82948,1.72654,2.44971,1.8285,1.72409,3.91036,3.79773,3.75303,2.30889,1.70834,1.67733,7.04576,2.71433,2.64025,3.19932,2.63969,2.55288
18.8,2.81553,1.82259,1.71925,2.69395,1.43059,1.32498,2.62195,2.14604,1.92544,1.7501,1.12468,1.06381,3.23096,3.03765,3.09407,1.93244,1.30461,1.2529,1.64757,1.07322,1.09004,1.18635,0.80816,0.78783,3.30928,2.54929,2.46437,3.13523,2.42858,2.33603,2.33852,1.42268,1.37614,2.30887,1.41079,1.34921,2.87217,2.06887,1.91394,2.82547,2.01924,1.86781,3.88465,3.73201,3.68248,2.492,1.90587,1.88032,7.2855,2.7919,2.71697,3.27757,2.72694,2.63985
19.8,3.01382,2.00826,1.90859,2.91292,1.68818,1.58649,2.75006,2.31399,2.08657,1.96967,1.34861,1.28767,3.05846,2.75781,2.77713,2.05001,1.45998,1.40824,1.68708,1.08899,1.07618,1.24159,0.80889,0.76766,3.20961,2.40628,2.33997,3.03227,2.26302,2.19212,2.20735,1.36204,1.31797,2.16521,1.32989,1.27566,2.76247,2.0667,1.9209,2.77657,2.04941,1.90934,3.92514,3.75615,3.70955,2.42416,1.77826,1.75716,7.39245,2.84248,2.76999,3.31437,2.77113,2.6883
20.8,2.85593,1.81493,1.70794,2.74988,1.44479,1.34295,2.78778,2.31577,2.08045,2.00663,1.30496,1.24926,3.05394,2.72987,2.73845,2.18662,1.67813,1.62331,1.92259,1.41015,1.44675,1.25281,0.87006,0.84601,3.41337,2.66504,2.56644,3.1874,2.44757,2.35857,2.33419,1.43309,1.38985,2.30869,1.41445,1.36101,2.94344,2.27157,2.14869,2.94832,2.24892,2.13187,4.05227,3.92055,3.87783,2.60546,1.99774,1.97631,6.62561,2.79985,2.72434,3.28635,2.73858,2.65342
21.8,2.83073,1.86717,1.77665,2.77584,1.61691,1.5209,2.75826,2.31101,2.09969,1.93425,1.3643,1.29675,3.09815,2.76471,2.77289,2.27072,1.7717,1.71952,1.75673,1.18827,1.21375,1.24388,0.85617,0.82515,3.41521,2.60146,2.50882,3.18006,2.38945,2.30411,2.33007,1.3757,1.33472,2.29597,1.35706,1.30352,2.75131,2.03005,1.90506,2.75255,2.02805,1.90961,3.81251,3.58226,3.53401,2.58943,1.97127,1.9409,7.72034,2.79623,2.7291,3.2865,2.72986,2.65013
22.8,2.81216,1.85654,1.76786,2.76155,1.60905,1.53138,2.69808,2.09847,1.87098,1.94249,1.20147,1.11601,3.14539,2.77819,2.78185,2.30862,1.7439,1.68437,1.80663,1.24552,1.25554,1.2488,0.90249,0.86873,3.36993,2.53236,2.45757,3.14014,2.35143,2.28325,2.29113,1.33548,1.27474,2.26426,1.32252,1.24994,2.7814,2.07191,1.92771,2.79084,2.04826,1.90965,3.77688,3.57158,3.51728,2.52405,1.87138,1.84516,7.32106,2.65884,2.58232,3.16556,2.57895,2.48971
23.8,2.80481,1.88941,1.80282,2.72875,1.58753,1.50815,2.76093,2.32551,2.11843,1.90783,1.28861,1.23298,3.71764,3.57487,3.64795,2.36468,1.8019,1.74627,1.75034,1.22259,1.2289,1.32191,0.98492,0.94413,3.49314,2.66225,2.57739,3.15379,2.39733,2.32389,2.56636,1.56338,1.49562,2.58003,1.57641,1.49928,2.65622,1.8753,1.72253,2.64557,1.83554,1.68942,3.95568,3.75407,3.71424,2.64573,2.01826,1.99566,6.98262,2.84509,2.77154,3.2934,2.76479,2.67846
24.8,2.80389,1.80856,1.70673,2.74012,1.51063,1.41822,2.77805,2.27179,2.07528,2.11063,1.23867,1.1854,3.68767,3.59115,3.67094,2.25145,1.7103,1.65786,1.92403,1.37503,1.39304,1.3076,0.93332,0.90149,3.43173,2.61725,2.54383,3.19431,2.41598,2.33032,2.90552,1.89029,1.81767,2.87774,1.84602,1.77347,2.86028,2.10582,1.97831,2.84053,2.07207,1.95105,3.75304,3.52509,3.47426,2.51792,1.92151,1.88855,7.8083,2.76969,2.69968,3.26029,2.70276,2.6215
